Date,Open,High,Low,Close,Volume,Market Cap
2/9/2021,46184.99,48003.72,45166.96,46481.10,91809846886.00,865682956619.00
2/8/2021,38886.83,46203.93,38076.32,46196.46,101467222687.00,860342706260.00
2/7/2021,39250.19,39621.84,37446.15,38903.44,65500641143.00,724478833211.00
2/6/2021,38138.39,40846.55,38138.39,39266.01,71326033653.00,731192490093.00
2/5/2021,36931.55,38225.91,36658.76,38144.31,58598066402.00,710266752534.00
2/4/2021,37475.10,38592.18,36317.50,36926.06,68838074392.00,687542752523.00
2/3/2021,35510.82,37480.19,35443.98,37472.09,61166818159.00,697672910488.00
2/2/2021,33533.20,35896.88,33489.22,35510.29,63088585433.00,661114581664.00
2/1/2021,33114.58,34638.21,32384.23,33537.18,61400400660.00,624349044409.00
1/31/2021,34270.88,34288.33,32270.18,33114.36,52754542671.00,616452744533.00
1/30/2021,34295.94,34834.71,32940.19,34269.52,65141828798.00,637924573284.00
1/29/2021,34318.67,38406.26,32064.81,34316.39,117894572511.00,638768671362.00
1/28/2021,30441.04,33858.31,30023.21,33466.10,76517157706.00,622910073820.00
1/27/2021,32564.03,32564.03,29367.14,30432.55,62576762015.00,566417413554.00
1/26/2021,32358.61,32794.55,31030.27,32569.85,60255421470.00,606169260387.00
1/25/2021,32285.80,34802.74,32087.79,32366.39,59897054838.00,602350097075.00
1/24/2021,32064.38,32944.01,31106.69,32289.38,48643830599.00,600888568010.00
1/23/2021,32985.76,33360.98,31493.16,32067.64,48354737975.00,596733137645.00
1/22/2021,30817.63,33811.85,28953.37,33005.76,77207272511.00,614160521492.00
1/21/2021,35549.40,35552.68,30250.75,30825.70,75643067688.00,573565664943.00
1/20/2021,36050.11,36378.33,33570.48,35547.75,66834573161.00,661400102161.00
1/19/2021,36642.23,37755.89,36069.81,36069.81,57244195486.00,671081200700.00
1/18/2021,35792.24,37299.29,34883.84,36630.08,49511702429.00,681470030572.00
1/17/2021,36163.65,36722.35,34069.32,35791.28,52359854336.00,665831621391.00
1/16/2021,36821.65,37864.37,35633.55,36178.14,57706187875.00,673000645231.00
1/15/2021,39156.71,39577.71,34659.59,36825.37,67760757881.00,685005864471.00
1/14/2021,37325.11,39966.41,36868.56,39187.33,63615990033.00,728904366964.00
1/13/2021,33915.12,37599.96,32584.67,37316.36,69364315979.00,694069582194.00
1/12/2021,35516.36,36568.53,32697.98,33922.96,74773277909.00,630920422745.00
1/11/2021,38346.53,38346.53,30549.60,35566.66,123320567399.00,661457321418.00
1/10/2021,40254.22,41420.19,35984.63,38356.44,79980747690.00,713304617761.00
1/9/2021,40788.64,41436.35,38980.88,40254.55,61984162837.00,748563483043.00
1/8/2021,39381.77,41946.74,36838.64,40797.61,88107519480.00,758625941267.00
1/7/2021,36833.87,40180.37,36491.19,39371.04,84762141031.00,732062681138.00
1/6/2021,34013.61,36879.70,33514.03,36824.36,75289433811.00,684671246324.00
1/5/2021,31977.04,34437.59,30221.19,33992.43,67547324782.00,631980005970.00
1/4/2021,32810.95,33440.22,28722.76,31971.91,81163475344.00,594384025391.00
1/3/2021,32129.41,34608.56,32052.32,32782.02,78665235202.00,609409213147.00
1/2/2021,29376.46,33155.12,29091.18,32127.27,67865420765.00,597205944669.00
1/1/2021,28994.01,29600.63,28803.59,29374.15,40730301359.00,546001594838.00
12/31/2020,28841.57,29244.88,28201.99,29001.72,46754964848.00,539051138108.00
12/30/2020,27360.09,28937.74,27360.09,28840.95,51287442704.00,536033807161.00
12/29/2020,27081.81,27370.72,25987.30,27362.44,45265946774.00,508523687097.00
12/28/2020,26280.82,27389.11,26207.64,27084.81,49056742893.00,503339329917.00
12/27/2020,26439.37,28288.84,25922.77,26272.29,66479895605.00,488213268382.00
12/26/2020,24677.02,26718.07,24522.69,26437.04,48332647295.00,491250863157.00
12/25/2020,23733.57,24710.10,23463.67,24664.79,42068395846.00,458297232692.00
12/24/2020,23240.20,23768.34,22777.60,23735.95,41080759713.00,441017197764.00
12/23/2020,23781.97,24024.49,22802.65,23241.34,51146161904.00,431808778580.00
12/22/2020,22794.04,23789.90,22430.60,23783.03,44171632681.00,441850902134.00
12/21/2020,23474.46,24059.98,22159.37,22803.08,45852713981.00,423625088584.00
12/20/2020,23861.77,24209.66,23147.71,23477.30,37844228422.00,436129331482.00
12/19/2020,23132.87,24085.86,22826.47,23869.83,38487546580.00,443399267277.00
12/18/2020,22806.80,23238.60,22399.81,23137.96,40387896275.00,429781092528.00
12/17/2020,21308.35,23642.66,21234.68,22805.16,71378606374.00,423576934966.00
12/16/2020,19418.82,21458.91,19298.32,21310.60,44409011479.00,395799863746.00
12/15/2020,19246.92,19525.01,19079.84,19417.08,26741982541.00,360614771027.00
12/14/2020,19144.49,19305.10,19012.71,19246.64,22473997681.00,357432550020.00
12/13/2020,18806.77,19381.54,18734.33,19142.38,25450468637.00,355479173806.00
12/12/2020,18051.32,18919.55,18046.04,18803.66,21752580802.00,349170613899.00
12/11/2020,18263.93,18268.45,17619.53,18058.90,27919640985.00,335326168919.00
12/10/2020,18553.30,18553.30,17957.07,18264.99,25547132265.00,339136939586.00
12/9/2020,18320.88,18626.29,17935.55,18553.92,34420373071.00,344486483494.00
12/8/2020,19191.53,19283.48,18269.95,18321.14,31692288756.00,340148764252.00
12/7/2020,19343.13,19411.83,18931.14,19191.63,26896357742.00,356293229783.00
12/6/2020,19154.18,19390.50,18897.89,19345.12,25293775714.00,359123541247.00
12/5/2020,18698.39,19160.45,18590.19,19154.23,27242455064.00,355563938256.00
12/4/2020,19446.97,19511.40,18697.19,18699.77,33872388058.00,347111351136.00
12/3/2020,19205.93,19566.19,18925.78,19445.40,31930317405.00,360933936017.00
12/2/2020,18801.74,19308.33,18347.72,19201.09,37387697139.00,356381007571.00
12/1/2020,19633.77,19845.98,18321.92,18803.00,49633658712.00,348976597318.00
11/30/2020,18178.32,19749.26,18178.32,19625.84,47728480399.00,364229729426.00
11/29/2020,17719.63,18283.63,17559.12,18177.48,31133957704.00,337336592123.00
11/28/2020,17112.93,17853.94,16910.65,17717.42,32601040734.00,328782832212.00
11/27/2020,17153.91,17445.02,16526.42,17108.40,38886494645.00,317464460530.00
11/26/2020,18729.84,18866.29,16351.03,17150.62,61396835737.00,318231964319.00
11/25/2020,19104.41,19390.97,18581.15,18732.12,43710357371.00,347558803507.00
11/24/2020,18365.01,19348.27,18128.66,19107.46,51469565009.00,354504361032.00
11/23/2020,18370.02,18711.43,18000.80,18364.12,42741112308.00,340698070308.00
11/22/2020,18642.23,18688.97,17671.38,18370.00,41280434226.00,340790183317.00
11/21/2020,18621.32,18936.62,18444.36,18642.23,39650210707.00,345819234185.00
11/20/2020,17817.08,18773.23,17765.80,18621.31,36992873940.00,345411881099.00
11/19/2020,17803.86,18119.55,17382.55,17817.09,36985055355.00,330475167134.00
11/18/2020,17645.19,18393.95,17352.91,17804.01,49064800278.00,330218014062.00
11/17/2020,16685.69,17782.92,16564.54,17645.41,39006849170.00,327257094857.00
11/16/2020,15955.58,16816.18,15880.71,16716.11,31526766675.00,309889423249.00
11/15/2020,16068.14,16123.11,15793.53,15955.59,23653867583.00,295790551598.00
11/14/2020,16317.81,16317.81,15749.19,16068.14,27481710135.00,297877068423.00
11/13/2020,16276.44,16463.18,15992.15,16317.81,31599492172.00,302505533181.00
11/12/2020,15701.30,16305.00,15534.77,16276.34,34175758344.00,301736853825.00
11/11/2020,15290.91,15916.26,15290.01,15701.34,29772374934.00,291077214052.00
11/10/2020,15332.35,15450.33,15124.96,15290.90,25574938143.00,283468380961.00
11/9/2020,15479.60,15785.14,14865.53,15332.32,34149115566.00,284236108837.00
11/8/2020,14833.75,15637.32,14744.11,15479.57,26632075029.00,286955182899.00
11/7/2020,15565.88,15737.10,14423.20,14833.75,35024953706.00,274970333140.00
11/6/2020,15579.73,15903.44,15226.84,15565.88,39837841971.00,288526920959.00
11/5/2020,14133.73,15706.40,14102.09,15579.85,40856321439.00,288771509681.00
11/4/2020,13950.49,14218.77,13580.47,14133.71,35116364962.00,261954213176.00
11/3/2020,13550.45,13984.98,13325.44,13950.30,29869951617.00,258541441764.00
11/2/2020,13737.03,13808.32,13243.16,13550.49,30771455468.00,251119864445.00
11/1/2020,13780.99,13862.03,13628.38,13737.11,24453857900.00,254569759063.00
10/31/2020,13546.53,14028.21,13457.53,13780.99,30306464719.00,255372071116.00
10/30/2020,13437.87,13651.52,13136.20,13546.52,30581485201.00,251018154920.00
10/29/2020,13271.30,13612.05,12980.06,13437.88,56499499598.00,248995322466.00
10/28/2020,13654.21,13837.70,12932.25,13271.29,35867318895.00,245899824465.00
10/27/2020,13075.24,13759.67,13060.84,13654.22,33749878156.00,252985946390.00
10/26/2020,13031.20,13225.30,12822.38,13075.25,29461458313.00,242250997936.00
10/25/2020,13108.06,13329.18,12910.06,13031.17,24406920575.00,241425217440.00
10/24/2020,12931.57,13145.07,12885.75,13108.06,24542317940.00,242839876186.00
10/23/2020,12971.55,13015.96,12752.65,12931.54,28974975003.00,239557562148.00
10/22/2020,12801.64,13161.59,12717.09,12965.89,34729759598.00,240166387522.00
10/21/2020,11913.08,13184.57,11900.93,12823.69,43414712626.00,237532386963.00
10/20/2020,11745.97,11999.92,11681.48,11916.34,30915821592.00,220721282865.00
10/19/2020,11495.04,11799.09,11408.29,11742.04,23860769928.00,217482407293.00
10/18/2020,11355.98,11483.36,11347.58,11483.36,18283314340.00,212682581771.00
10/17/2020,11322.12,11386.26,11285.35,11358.10,19130430174.00,210353665235.00
10/16/2020,11502.83,11540.06,11223.01,11322.12,25635480772.00,209676088344.00
10/15/2020,11426.60,11569.91,11303.60,11495.35,24487233058.00,212873103428.00
10/14/2020,11429.05,11539.98,11307.83,11429.51,24103426719.00,211643390713.00
10/13/2020,11548.72,11548.98,11321.22,11425.90,24241420251.00,211565586739.00
10/12/2020,11392.64,11698.47,11240.69,11555.36,26163972642.00,213950143824.00
10/11/2020,11296.08,11428.81,11288.63,11384.18,19968627060.00,210766812992.00
10/10/2020,11059.14,11442.21,11056.94,11296.36,22877978588.00,209130239495.00
10/9/2020,10927.91,11102.67,10846.85,11064.46,22799117613.00,204827451843.00
10/8/2020,10669.37,10945.74,10562.61,10915.69,63314794397.00,202064144550.00
10/7/2020,10603.36,10680.51,10562.51,10668.97,37799458436.00,197485816055.00
10/6/2020,10796.31,10797.58,10528.89,10604.41,42623695307.00,196281911458.00
10/5/2020,10676.53,10793.51,10634.60,10793.34,47537578009.00,199769602128.00
