Timestamp,total-bitcoins
2011-12-07 06:35:07,7822150
2011-12-10 07:02:04,7844800
2011-12-13 13:27:52,7867250
2011-12-17 00:46:36,7889700
2011-12-20 02:13:49,7912800
2011-12-23 08:03:40,7936250
2011-12-26 07:17:23,7959700
2011-12-29 07:22:49,7983450
2012-01-01 12:59:00,8006400
2012-01-04 13:37:46,8029800
2012-01-07 09:57:47,8052800
2012-01-10 07:02:16,8076300
2012-01-13 12:04:40,8099750
2012-01-16 16:36:20,8124250
2012-01-19 21:08:42,8147550
2012-01-22 21:08:42,8170000
2012-01-26 01:46:48,8194100
2012-01-29 06:13:41,8216950
2012-02-01 01:24:58,8239900
2012-02-04 01:19:53,8262700
2012-02-07 02:13:46,8285250
2012-02-10 06:09:01,8307850
2012-02-13 06:45:03,8330550
2012-02-16 15:35:56,8352950
2012-02-19 12:26:14,8375850
2012-02-22 15:13:55,8398300
2012-02-25 11:31:29,8421100
2012-02-28 12:33:39,8444450
2012-03-02 07:59:54,8467450
2012-03-05 20:16:15,8489750
2012-03-08 22:37:40,8513050
2012-03-11 23:43:23,8536400
2012-03-15 03:05:14,8560200
2012-03-18 04:01:31,8583050
2012-03-21 05:26:10,8606850
2012-03-24 08:55:09,8630500
2012-03-27 07:29:28,8654250
2012-03-30 11:46:35,8677950
2012-04-02 17:00:03,8701400
2012-04-06 07:07:47,8724450
2012-04-09 14:14:27,8747700
2012-04-12 23:25:52,8771200
2012-04-16 13:50:28,8794250
2012-04-19 19:07:41,8816850
2012-04-23 01:06:58,8841550
2012-04-26 12:33:12,8865150
2012-04-29 15:58:02,8888800
2012-05-02 08:53:50,8911950
2012-05-05 06:20:20,8934700
2012-05-08 00:23:02,8957800
2012-05-10 23:12:34,8981250
2012-05-14 07:53:39,9004100
2012-05-17 23:35:48,9026950
2012-05-21 02:04:47,9049200
2012-05-24 17:57:03,9071850
2012-05-27 23:56:02,9094600
2012-05-31 08:15:37,9117550
2012-06-03 10:15:13,9140700
2012-06-06 12:11:58,9163850
2012-06-09 14:33:21,9187000
2012-06-12 15:16:34,9210250
2012-06-15 15:49:16,9233650
2012-06-18 15:49:43,9257600
2012-06-21 20:32:25,9281400
2012-06-24 22:22:02,9303800
2012-06-27 21:28:50,9326900
2012-07-01 04:04:45,9349550
2012-07-04 05:36:37,9372800
2012-07-07 07:02:07,9395750
2012-07-10 06:42:21,9419300
2012-07-13 10:46:55,9442600
2012-07-16 12:54:36,9466700
2012-07-19 12:59:54,9489900
2012-07-22 17:41:31,9512750
2012-07-25 19:32:10,9536700
2012-07-28 14:25:59,9560800
2012-07-31 19:25:52,9585750
2012-08-03 22:54:07,9609700
2012-08-07 04:02:23,9632950
2012-08-09 22:18:57,9656150
2012-08-12 21:43:16,9680050
2012-08-15 19:28:57,9703500
2012-08-19 00:31:36,9727300
2012-08-21 17:14:34,9751300
2012-08-24 15:41:01,9774600
2012-08-27 19:22:56,9798400
2012-08-30 19:44:21,9822300
2012-09-02 22:36:00,9846450
2012-09-05 20:37:13,9870500
2012-09-08 19:18:17,9894400
2012-09-11 22:55:05,9918100
2012-09-15 08:21:35,9942850
2012-09-18 09:04:58,9967700
2012-09-21 13:03:09,9992100
2012-09-24 14:57:37,10016600
2012-09-27 21:19:10,10040450
2012-10-01 01:52:49,10066100
2012-10-04 17:11:55,10090750
2012-10-08 06:03:57,10115600
2012-10-11 09:39:16,10139700
2012-10-14 18:09:20,10163550
2012-10-17 22:41:45,10187900
2012-10-21 03:35:27,10212350
2012-10-24 08:30:19,10236350
2012-10-27 11:58:31,10261500
2012-10-30 15:30:24,10286150
2012-11-03 02:28:29,10310800
2012-11-06 11:03:04,10335900
2012-11-09 14:31:24,10360150
2012-11-12 23:47:15,10384450
2012-11-16 09:01:53,10408150
2012-11-19 19:10:55,10432150
2012-11-23 02:54:18,10457050
2012-11-26 03:30:23,10480600
2012-11-29 04:17:36,10502425
2012-12-02 10:17:23,10514475
2012-12-06 03:42:54,10526650
2012-12-09 16:49:54,10538475
2012-12-13 05:09:50,10550675
2012-12-17 04:28:41,10561950
2012-12-20 16:50:40,10573250
2012-12-24 05:31:50,10585000
2012-12-27 13:45:55,10596650
2012-12-30 13:07:43,10608200
2013-01-02 09:20:31,10619750
2013-01-05 07:50:31,10631375
2013-01-08 09:10:11,10642775
2013-01-11 19:32:10,10654025
2013-01-15 06:35:41,10665550
2013-01-18 23:02:19,10676775
2013-01-22 06:21:54,10688450
2013-01-25 12:03:51,10699825
2013-01-28 15:14:33,10711300
2013-01-31 13:20:24,10723150
2013-02-03 09:08:24,10734600
2013-02-06 03:07:44,10746225
2013-02-09 04:44:43,10757700
2013-02-12 03:48:38,10769225
2013-02-15 02:29:30,10780550
2013-02-17 12:06:02,10791925
2013-02-20 06:08:49,10803325
2013-02-22 19:05:50,10814575
2013-02-25 10:22:55,10825900
2013-02-27 22:28:48,10837275
2013-03-02 18:44:11,10848475
2013-03-05 14:55:07,10859800
2013-03-08 12:02:48,10870950
2013-03-11 02:58:42,10882175
2013-03-14 01:32:52,10893425
2013-03-16 15:48:35,10904675
2013-03-18 22:22:53,10916025
2013-03-21 06:28:07,10927175
2013-03-23 07:11:38,10938500
2013-03-25 18:11:36,10949700
2013-03-28 16:00:28,10960775
2013-03-31 06:36:41,10971925
2013-04-02 16:37:16,10983200
2013-04-05 09:36:59,10994375
2013-04-08 03:04:35,11005475
2013-04-10 16:45:45,11016650
2013-04-13 08:09:55,11027675
2013-04-16 01:23:26,11038825
2013-04-18 16:08:48,11050000
2013-04-21 16:10:07,11061100
2013-04-24 09:05:46,11072175
2013-04-27 00:46:24,11083300
2013-04-29 16:10:19,11094325
2013-05-02 17:10:28,11105475
2013-05-05 16:10:38,11116600
2013-05-08 07:13:37,11127700
2013-05-10 23:26:27,11138750
2013-05-13 11:35:14,11149875
2013-05-16 10:58:48,11161050
2013-05-19 07:27:54,11172125
2013-05-22 08:50:46,11183225
2013-05-25 00:08:05,11194275
2013-05-27 15:14:27,11205350
2013-05-30 09:27:08,11216500
2013-06-01 17:47:49,11227675
2013-06-03 22:06:43,11239025
2013-06-06 04:08:40,11250150
2013-06-08 19:12:42,11261275
2013-06-11 10:33:56,11272600
2013-06-13 17:37:51,11283800
2013-06-16 05:22:32,11294900
2013-06-19 02:18:09,11305950
2013-06-21 23:16:12,11316900
2013-06-24 15:58:40,11328000
2013-06-27 09:28:20,11338975
2013-06-29 23:22:37,11350025
2013-07-02 19:31:42,11361100
2013-07-05 08:52:21,11372275
2013-07-07 18:38:44,11383375
2013-07-10 02:28:16,11394450
2013-07-12 14:58:33,11405525
2013-07-15 08:26:56,11416600
2013-07-17 22:49:33,11427825
2013-07-20 14:11:26,11439175
2013-07-23 01:16:36,11450300
2013-07-26 01:19:31,11461500
2013-07-28 16:12:57,11472750
2013-07-31 02:57:35,11483875
2013-08-02 12:46:41,11495050
2013-08-05 01:39:49,11506350
2013-08-07 09:16:32,11517375
2013-08-09 15:16:40,11528500
2013-08-11 19:19:54,11539650
2013-08-14 01:24:39,11551000
2013-08-16 18:57:46,11562550
2013-08-19 03:43:25,11573625
2013-08-21 12:47:27,11585025
2013-08-23 16:56:51,11596275
2013-08-26 09:50:26,11607575
2013-08-28 23:41:56,11618600
2013-08-31 05:52:45,11629775
2013-09-02 05:17:00,11640900
2013-09-04 12:51:33,11652075
2013-09-07 04:02:43,11663450
2013-09-09 18:37:21,11674550
2013-09-12 01:10:57,11685750
2013-09-14 05:08:24,11696950
2013-09-16 14:11:49,11708300
2013-09-19 06:20:34,11719525
2013-09-21 16:09:44,11730800
2013-09-23 17:33:29,11741925
2013-09-25 23:09:12,11753425
2013-09-28 16:01:49,11764875
2013-10-01 05:49:43,11776075
2013-10-03 17:42:23,11787975
2013-10-06 00:37:19,11799450
2013-10-08 18:26:18,11810600
2013-10-11 06:07:05,11822075
2013-10-13 13:27:02,11834050
2013-10-15 09:31:09,11845525
2013-10-17 14:10:51,11856850
2013-10-19 21:59:12,11868500
2013-10-22 02:01:45,11879850
2013-10-24 03:13:28,11891500
2013-10-26 02:30:03,11902900
2013-10-28 16:11:24,11914250
2013-10-31 05:10:34,11925700
2013-11-02 09:47:16,11937000
2013-11-04 15:45:26,11948425
2013-11-07 08:57:32,11959675
2013-11-10 12:02:55,11970875
2013-11-12 21:54:30,11982450
2013-11-15 14:35:50,11993975
2013-11-18 02:15:16,12005800
2013-11-20 22:52:27,12017100
